,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,Common_lanaguage,Impact,p_corrected,significant
40,d_n_mean,0.786865234375,0.5266272189349113,-0.09890109890109894,-0.07692307692307687,-0.08177239132832086,-0.08722257069443706,0.47337278106508873,0.8497528071559998,0.983657525510204,p > 0.05
41,d_n_std,0.946044921875,0.5266272189349113,-0.032967032967033016,0.07692307692307687,-0.014596795537106239,-0.02907419023147902,0.47337278106508873,0.5864234507022068,1.0,p > 0.05
42,a_n_mean,0.587890625,0.5207100591715976,0.18681318681318682,0.23076923076923084,0.05702400266589354,-0.16475374464504774,0.47928994082840237,-0.6876581080156943,0.9337086397058824,p > 0.05
43,a_n_std,0.339599609375,0.46745562130177515,0.31868131868131866,0.07692307692307687,0.26116118677835426,-0.28105050557096384,0.5325443786982249,-0.8593235651699508,0.8335626775568182,p > 0.05
44,a_mean,0.243896484375,0.4792899408284023,0.3846153846153846,0.23076923076923084,0.13078536785847902,-0.3391988860339219,0.5207100591715976,-0.6065197344824924,0.8335626775568182,p > 0.05
45,a_std,0.339599609375,0.5976331360946745,-0.31868131868131866,-0.3846153846153846,-0.29375729200691636,-0.28105050557096384,0.40236686390532544,0.7292613268702263,0.8335626775568182,p > 0.05
46,CNV_mean,0.497314453125,0.514792899408284,-0.23076923076923078,-0.23076923076923073,-0.3743800271358082,-0.20351933162035313,0.48520710059171596,0.9798785416234462,0.895166015625,p > 0.05
47,CNV_std,0.587890625,0.5325443786982248,-0.18681318681318682,-0.07692307692307687,-0.14378986232749694,-0.16475374464504774,0.46745562130177515,-0.8148509594262372,0.9337086397058824,p > 0.05
48,P1_mean,0.541748046875,0.46153846153846156,0.20879120879120877,0.07692307692307687,0.13487137422700246,-0.18413653813270045,0.5384615384615384,-0.6977054032031251,0.9141998291015625,p > 0.05
49,P1_std,0.127197265625,0.680473372781065,-0.4945054945054945,-0.3846153846153846,-0.7443094265427261,-0.4361128534721853,0.31952662721893493,0.8317676443515865,0.6967022235576924,p > 0.05
50,P3a_mean,1.0,0.48520710059171596,0.01098901098901095,0.07692307692307687,-0.07353030972174052,-0.00969139674382634,0.514792899408284,0.716640515103956,1.0,p > 0.05
51,P3a_std,0.892578125,0.44970414201183434,-0.05494505494505497,0.07692307692307687,-0.1828459315486528,-0.0484569837191317,0.5502958579881657,0.7330985302691798,0.983657525510204,p > 0.05
52,P3b_mean,0.497314453125,0.4319526627218935,0.23076923076923078,0.23076923076923084,0.2253893264894508,-0.20351933162035313,0.5680473372781065,-0.976491673638396,0.895166015625,p > 0.05
53,P3b_std,0.039794921875,0.6863905325443787,-0.6483516483516483,-0.5384615384615384,-0.6336136255180551,-0.5717924078857539,0.3136094674556213,1.0105219731163948,0.6967022235576924,p < 0.05 uncorrected
