,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
379,379,0.5574983465608465,2024-01-04 14:08:41.289671,2024-01-04 14:08:43.572863,0 days 00:00:02.283192,8,0.5089762856159578,8,31,COMPLETE
231,231,0.5574919871794872,2024-01-04 14:03:10.585090,2024-01-04 14:03:12.782788,0 days 00:00:02.197698,10,0.5285544951623475,7,26,COMPLETE
984,984,0.5571612993487993,2024-01-04 14:31:14.263361,2024-01-04 14:31:16.531338,0 days 00:00:02.267977,3,0.48483098751826836,8,29,COMPLETE
866,866,0.5570690883190883,2024-01-04 14:26:48.386664,2024-01-04 14:26:50.684283,0 days 00:00:02.297619,3,0.49818601902119125,7,27,COMPLETE
898,898,0.5570531898656899,2024-01-04 14:28:03.040687,2024-01-04 14:28:05.330699,0 days 00:00:02.290012,10,0.7029509646830678,7,31,COMPLETE
363,363,0.5570341117216118,2024-01-04 14:08:03.598882,2024-01-04 14:08:05.877831,0 days 00:00:02.278949,26,0.8295572950387029,8,30,COMPLETE
840,840,0.5570341117216118,2024-01-04 14:25:50.177666,2024-01-04 14:25:52.489814,0 days 00:00:02.312148,28,0.8243211532702458,8,30,COMPLETE
182,182,0.55694826007326,2024-01-04 14:01:21.741960,2024-01-04 14:01:24.222327,0 days 00:00:02.480367,7,0.4956454595025016,7,38,COMPLETE
250,250,0.5567574786324787,2024-01-04 14:03:55.190552,2024-01-04 14:03:57.359637,0 days 00:00:02.169085,13,0.5275307293025722,8,26,COMPLETE
959,959,0.5566684472934473,2024-01-04 14:30:16.756055,2024-01-04 14:30:19.153116,0 days 00:00:02.397061,21,0.8754510402958677,8,34,COMPLETE
483,483,0.5565825956450956,2024-01-04 14:12:36.753060,2024-01-04 14:12:38.758015,0 days 00:00:02.004955,16,0.3834077927843202,8,21,COMPLETE
165,165,0.5564331501831501,2024-01-04 14:00:40.584208,2024-01-04 14:00:42.877401,0 days 00:00:02.293193,6,0.5411351493819547,6,31,COMPLETE
406,406,0.5563886345136345,2024-01-04 14:09:41.796658,2024-01-04 14:09:43.969624,0 days 00:00:02.172966,9,0.7749608825902665,8,26,COMPLETE
510,510,0.5562169312169313,2024-01-04 14:13:39.530924,2024-01-04 14:13:41.854543,0 days 00:00:02.323619,9,0.48639738945696254,9,32,COMPLETE
718,718,0.5561278998778999,2024-01-04 14:21:17.470486,2024-01-04 14:21:19.561634,0 days 00:00:02.091148,8,0.4990625102453162,9,24,COMPLETE
161,161,0.5561088217338218,2024-01-04 14:00:30.596508,2024-01-04 14:00:33.054817,0 days 00:00:02.458309,6,0.5251251074458313,7,36,COMPLETE
829,829,0.5560802045177046,2024-01-04 14:25:26.037911,2024-01-04 14:25:28.134054,0 days 00:00:02.096143,6,0.5056590278749307,8,23,COMPLETE
553,553,0.5560102513227513,2024-01-04 14:15:14.730312,2024-01-04 14:15:16.912283,0 days 00:00:02.181971,12,0.4860842049744087,10,26,COMPLETE
871,871,0.5557336182336183,2024-01-04 14:26:59.405229,2024-01-04 14:27:01.571584,0 days 00:00:02.166355,13,0.8587593654449409,8,25,COMPLETE
476,476,0.5556286884411884,2024-01-04 14:12:21.573616,2024-01-04 14:12:23.834318,0 days 00:00:02.260702,10,0.5108402950044135,8,30,COMPLETE
954,954,0.5556286884411884,2024-01-04 14:30:05.310893,2024-01-04 14:30:07.601972,0 days 00:00:02.291079,9,0.5164461480226977,8,30,COMPLETE
607,607,0.5554824226699226,2024-01-04 14:17:13.948384,2024-01-04 14:17:16.134429,0 days 00:00:02.186045,23,0.4796931137562841,7,25,COMPLETE
985,985,0.5554824226699226,2024-01-04 14:31:16.532679,2024-01-04 14:31:18.662485,0 days 00:00:02.129806,9,0.4793574416442912,7,25,COMPLETE
852,852,0.5554347273097273,2024-01-04 14:26:16.324859,2024-01-04 14:26:18.580211,0 days 00:00:02.255352,9,0.536075142391498,8,29,COMPLETE
652,652,0.5554347273097273,2024-01-04 14:18:53.757919,2024-01-04 14:18:55.979220,0 days 00:00:02.221301,25,0.5219084784902641,8,29,COMPLETE
933,933,0.5553488756613757,2024-01-04 14:29:19.156707,2024-01-04 14:29:21.472248,0 days 00:00:02.315541,27,0.4833733884998281,9,32,COMPLETE
134,134,0.5552789224664224,2024-01-04 13:59:23.923798,2024-01-04 13:59:26.437759,0 days 00:00:02.513961,7,0.4912441563625494,8,39,COMPLETE
719,719,0.5546811406186406,2024-01-04 14:21:19.563223,2024-01-04 14:21:21.733113,0 days 00:00:02.169890,8,0.48029541856794256,8,27,COMPLETE
835,835,0.5546811406186406,2024-01-04 14:25:39.106349,2024-01-04 14:25:41.334347,0 days 00:00:02.227998,9,0.4787418971487304,8,27,COMPLETE
625,625,0.5546239061864062,2024-01-04 14:17:53.268471,2024-01-04 14:17:55.457678,0 days 00:00:02.189207,19,0.5504094824629235,7,27,COMPLETE
495,495,0.5545666717541717,2024-01-04 14:13:04.124692,2024-01-04 14:13:06.378914,0 days 00:00:02.254222,10,0.5323143515092478,8,29,COMPLETE
695,695,0.5544839997964998,2024-01-04 14:20:28.424437,2024-01-04 14:20:30.464180,0 days 00:00:02.039743,8,0.49984959293521103,9,22,COMPLETE
214,214,0.5544839997964998,2024-01-04 14:02:33.215500,2024-01-04 14:02:35.278236,0 days 00:00:02.062736,10,0.4960814935632453,9,22,COMPLETE
562,562,0.55448082010582,2024-01-04 14:15:33.965913,2024-01-04 14:15:36.113421,0 days 00:00:02.147508,28,0.5423619603010437,9,25,COMPLETE
769,769,0.5542550620675621,2024-01-04 14:23:07.982992,2024-01-04 14:23:10.213781,0 days 00:00:02.230789,7,0.7619385785048425,8,28,COMPLETE
833,833,0.5540769993894994,2024-01-04 14:25:34.573552,2024-01-04 14:25:36.719239,0 days 00:00:02.145687,9,0.4665805145671192,4,24,COMPLETE
223,223,0.5540261243386243,2024-01-04 14:02:53.291327,2024-01-04 14:02:55.559522,0 days 00:00:02.268195,8,0.5024884382247641,8,30,COMPLETE
367,367,0.5540165852665853,2024-01-04 14:08:12.541810,2024-01-04 14:08:14.716146,0 days 00:00:02.174336,8,0.8744573966488542,9,27,COMPLETE
332,332,0.5540165852665853,2024-01-04 14:06:55.467201,2024-01-04 14:06:57.625972,0 days 00:00:02.158771,25,0.8848107593437108,9,27,COMPLETE
448,448,0.5539434523809523,2024-01-04 14:11:17.216564,2024-01-04 14:11:19.554917,0 days 00:00:02.338353,8,0.5036841533151228,8,29,COMPLETE
972,972,0.5539434523809523,2024-01-04 14:30:46.246692,2024-01-04 14:30:48.494053,0 days 00:00:02.247361,16,0.5054870846525658,8,29,COMPLETE
674,674,0.5539402726902727,2024-01-04 14:19:41.823209,2024-01-04 14:19:43.769880,0 days 00:00:01.946671,24,0.4891863406881934,8,18,COMPLETE
403,403,0.5539402726902727,2024-01-04 14:09:35.240650,2024-01-04 14:09:37.254148,0 days 00:00:02.013498,10,0.49170247119152544,8,18,COMPLETE
736,736,0.5539370929995929,2024-01-04 14:21:57.436671,2024-01-04 14:21:59.692764,0 days 00:00:02.256093,2,0.4954315820781939,9,29,COMPLETE
170,170,0.5538830382580383,2024-01-04 14:00:52.566544,2024-01-04 14:00:54.962759,0 days 00:00:02.396215,7,0.5198464562266781,6,34,COMPLETE
177,177,0.553711334961335,2024-01-04 14:01:09.355766,2024-01-04 14:01:11.970747,0 days 00:00:02.614981,8,0.5505843453924312,7,41,COMPLETE
923,923,0.5535428113553114,2024-01-04 14:28:57.372296,2024-01-04 14:28:59.578225,0 days 00:00:02.205929,8,0.5384791690193272,4,27,COMPLETE
