,markers,AUC,p_value,p_corrected,significant
84,k,0.476,0.6803196803196803,0.930117501546073,p > 0.05
85,k,0.4766666666666666,0.6803196803196803,0.930117501546073,p > 0.05
86,k,0.668,0.6803196803196803,0.930117501546073,p > 0.05
87,k,0.44466666666666665,0.6803196803196803,0.930117501546073,p > 0.05
88,k,0.5673333333333332,0.6803196803196803,0.930117501546073,p > 0.05
89,k,0.44761273209549074,0.6803196803196803,0.930117501546073,p > 0.05
90,msf,0.6628205128205128,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
91,msf,0.3128205128205128,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
92,msf,0.6448717948717949,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
93,msf,0.6346666666666667,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
94,msf,0.5973333333333333,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
95,msf,0.5466666666666666,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
96,msf,0.4146666666666667,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
97,msf,0.496,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
98,msf,0.5920000000000001,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
99,msf,0.5809018567639258,0.03696303696303696,0.3792207792207792,p < 0.05 uncorrected
100,sef90,0.6474358974358975,0.3676323676323676,0.6136363636363635,p > 0.05
101,sef90,0.7256410256410257,0.3676323676323676,0.6136363636363635,p > 0.05
102,sef90,0.49743589743589745,0.3676323676323676,0.6136363636363635,p > 0.05
103,sef90,0.5013333333333333,0.3676323676323676,0.6136363636363635,p > 0.05
104,sef90,0.34933333333333333,0.3676323676323676,0.6136363636363635,p > 0.05
105,sef90,0.584,0.3676323676323676,0.6136363636363635,p > 0.05
106,sef90,0.5706666666666667,0.3676323676323676,0.6136363636363635,p > 0.05
107,sef90,0.484,0.3676323676323676,0.6136363636363635,p > 0.05
108,sef90,0.3373333333333333,0.3676323676323676,0.6136363636363635,p > 0.05
109,sef90,0.3779840848806366,0.3676323676323676,0.6136363636363635,p > 0.05
110,sef95,0.40769230769230763,0.6243756243756243,0.9018759018759018,p > 0.05
111,sef95,0.48717948717948717,0.6243756243756243,0.9018759018759018,p > 0.05
112,sef95,0.5532051282051282,0.6243756243756243,0.9018759018759018,p > 0.05
113,sef95,0.4746666666666667,0.6243756243756243,0.9018759018759018,p > 0.05
114,sef95,0.42666666666666664,0.6243756243756243,0.9018759018759018,p > 0.05
115,sef95,0.5386666666666666,0.6243756243756243,0.9018759018759018,p > 0.05
116,sef95,0.45866666666666667,0.6243756243756243,0.9018759018759018,p > 0.05
117,sef95,0.5386666666666666,0.6243756243756243,0.9018759018759018,p > 0.05
118,sef95,0.5866666666666667,0.6243756243756243,0.9018759018759018,p > 0.05
119,sef95,0.4310344827586207,0.6243756243756243,0.9018759018759018,p > 0.05
120,b,0.4371794871794872,0.13286713286713286,0.5602968460111317,p > 0.05
121,b,0.49743589743589745,0.13286713286713286,0.5602968460111317,p > 0.05
122,b,0.6064102564102565,0.13286713286713286,0.5602968460111317,p > 0.05
123,b,0.6746666666666666,0.13286713286713286,0.5602968460111317,p > 0.05
124,b,0.5266666666666666,0.13286713286713286,0.5602968460111317,p > 0.05
125,b,0.472,0.13286713286713286,0.5602968460111317,p > 0.05
126,b,0.4786666666666667,0.13286713286713286,0.5602968460111317,p > 0.05
127,b,0.5586666666666666,0.13286713286713286,0.5602968460111317,p > 0.05
128,b,0.5800000000000001,0.13286713286713286,0.5602968460111317,p > 0.05
129,b,0.5026525198938993,0.13286713286713286,0.5602968460111317,p > 0.05
130,b_n,0.5794871794871795,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
131,b_n,0.4884615384615385,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
132,b_n,0.6666666666666667,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
133,b_n,0.6493333333333334,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
134,b_n,0.5306666666666666,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
135,b_n,0.4933333333333334,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
136,b_n,0.54,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
137,b_n,0.5346666666666666,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
138,b_n,0.636,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
139,b_n,0.6259946949602122,0.003996003996003996,0.10389610389610389,p < 0.05 uncorrected
140,g,0.41923076923076924,0.993006993006993,0.993006993006993,p > 0.05
141,g,0.3307692307692308,0.993006993006993,0.993006993006993,p > 0.05
142,g,0.6038461538461538,0.993006993006993,0.993006993006993,p > 0.05
143,g,0.352,0.993006993006993,0.993006993006993,p > 0.05
144,g,0.44666666666666666,0.993006993006993,0.993006993006993,p > 0.05
145,g,0.376,0.993006993006993,0.993006993006993,p > 0.05
